"Other software","Windows","Linux","OS X","Other"
"ADCCore","Yes","?","?","Any .NET4 enabled platform"
"DCBouncer","Yes","Yes","No","No"
"DC-Hublink","Yes","No","No","No"
"DCWatch","Yes","Yes","No","No"
"Embla","Yes","Yes","Yes","Any Java enabled platform"
"FlowLib","Yes","Yes","Yes","Any C# enabled platform"
"NetChatLink","Yes","No","No","Runs under Wine"
"Announcer Bot","Yes","No","No","No"
"Certmanager","Yes","No","No","No"
"SerieBot","Yes","Yes","Yes","Any C# enabled platform"
"Other software","Windows","Linux","OS X","Other"
