"Mac OS Classic","68k, PowerPC","HFS+, HFS, MFS (Mac OS 8.0 and before), AFP, ISO 9660, FAT(System 7 and later), UDF","Monolithic with modules","","Yes","None","Software Update (only in Mac OS 9)","Toolbox, Carbon (from version 8.1)",""
"OS X","PowerPC, x86, x86-64, (see also iOS for ARM)","HFS+ (default), HFS, UFS, AFP, ISO 9660, FAT, UDF, NFS, SMBFS, NTFS (read only), FTP, WebDAV, ZFS (experimental)","Hybrid","~86 million","Yes","OS X Installer","Software Update","Carbon, Cocoa, Java, BSD-POSIX","Toolbox (only in versions up to Mac OS X 10.4, not supported on x86 architecture), Win16, Win32"
"MINIX 3","x86","","Microkernel","4000","No","","","POSIX",""
"NetBSD","x86, x86-64, ARM, MIPS, PowerPC, SPARC64, others","UFS, UFS2, ext2, FAT, ISO 9660, NFS, LFS, and others","Monolithic with modules","","No","pkgsrc","by source or binary (using sysinst)","BSD-POSIX","Linux, others"
"NetWare","x86","NSS, NWFS, FAT, NFS, AFP, UDF, CIFS, ISO 9660","Hybrid","","Yes","NWCONFIG.NLM, RPM, X11-based GUI installer","binary updates, ZENWorks for Servers, Red Carpet","Proprietary",""
"OpenBSD","x86, x86-64, SPARC, 68k, Alpha, VAX, others","ffs, ext2, FAT, ISO 9660, NFS, some others","Monolithic with modules","","No","Ports collection, packages","by source or binary (packages via pkg_add)","BSD-POSIX",""
"OpenVMS","VAX, Alpha, IA-64","Files-11 (ODS), ISO 9660, NFS, CIFS","Monolithic with modules","","No","PCSI, VMSINSTAL","?","Proprietary","POSIX"
"OS/2","x86","HPFS, JFS, FAT, ISO 9660, UDF, NFS","Monolithic with modules","","Yes","Feature Install and others","?","Proprietary, DOS API, Win16","Win32"
"PC-BSD","x86","UFS2, ext2, ext3, FAT, ISO 9660, UDF, NFS, ReiserFS (read only), XFS (experimental) and others","Monolithic with modules","","Yes","Ports collection, packages, PBI Graphical Installers","by PBI updates, source, network binary update (freebsdupdate)","BSD-POSIX","Win16, Win32"
"Plan 9","x86, Alpha, MIPS, PowerPC, SPARC, others","fossil/venti, 9P2000, kfs, ext2, FAT, ISO 9660","Hybrid, user space file systems","~ 2.5 Million /sys/src (complete source of all supported architectures, kernels, commands and libraries)","Yes","None","replica","Proprietary (Unix-like)","POSIX compatibility layer"
"QNX","x86, SH-4, PowerPC, ARM, MIPS","QNX4FS, QNX6, ext2, FAT, ISO 9660, Joliet, NFS, CIFS, ETFS, UDF, HFS, HFS+, NTFS, others","Microkernel","","","","","POSIX, Java",""
"ReactOS","x86, PowerPC, ARM","FAT, NTFS (read only)","Hybrid","nearly 8 million","Yes","None","None","Win32, NT API",""
"RISC OS","ARM (both 26 and 32-bit addressing modes)","Acorn ADFS, Econet ANFS, FAT, ISO 9660, many others as loadable filesystems","Monolithic with modules. Cooperative multitasking with limited memory protection.","","Yes","Applications self-contained; hardware drivers often in ROM","IyoUpWtch","Huge number of SWI calls; extensive C libraries",""
"Solaris","x86, x86-64, SPARC","UFS, ZFS, ext2, FAT, ISO 9660, UDF, NFS, QFS, some others","Monolithic with modules","","Yes","SysV packages (pkgadd)
Image Packaging System (pkg) (Solaris 11 and later)","Image Packaging System (Solaris 11 and later)","SysV/POSIX, GTK, Java","Win16, Win32, Mono, Linux"
"OpenSolaris","x86, x86-64, SPARC(AI)","UFS, ZFS, ext2, FAT, ISO 9660, UDF, NFS, QFS, some others","Monolithic with modules","~18.8 million","Yes","Image Packaging System (pkg), SysV packages (pkgadd)","Image Packaging System","SysV/POSIX, GTK, Java","Win16, Win32, Mono, Linux"
"STOP 6, XTS-400","x86","Proprietary","Monolithic","","No","RPM for some untrusted applications","Binary updates via postal mail and proprietary tools","Some: SysV, POSIX, Linux, proprietary",""
"Symbian","ARM","FAT","Microkernel","","Yes","SIS files","FOTA","Proprietary","POSIX compatibility layer"
"Windows Server (NT family)","x86, x86-64, IA-64","NTFS, FAT, ISO 9660, UDF; 3rd-party drivers support ext2, ext3, ReiserFS, and HFS","Hybrid","~45 million","Yes","MSI, custom installers","Windows Update","Win32, NT API","DOS API, Win16 (only in 32-bit versions), POSIX, .NET"
"Windows (NT family)","x86, x86-64, ARM","NTFS, FAT exFAT ISO 9660, UDF; 3rd-party drivers support ext2, ext3, ReiserFS, HFS+, FATX, and HFS (with third party driver)","Hybrid","~40(XP)/64(Vista and later) million","Yes","MSI, custom installers","Windows Update","Win32, NT API","DOS API, Win16 (only in 32-bit versions), POSIX, .NET"
"ZETA","x86","BFS (default), FAT, ISO 9660, UDF, HFS, AFP, ext2, CIFS, NTFS (read only), ReiserFS (read only, up to v3.6)","Hybrid","","Yes","SoftwareValet, script-based installers","None","POSIX, BeOS API",""
"z/OS","z/Architecture","VSAM, BDAM, QSAM, BPAM, HFS, zFS, etc.","Protected, multithreading, multitasking nucleus with programmable/user replaceable extensions. Not kernel-based.","","No","None, SMP/E","SMP/E","Filesystem access methods, Systems Services, etc.","POSIX, many others."
"Name","Computer architectures supported","File systems supported","Kernel type","Source lines of code","GUI default is on","Package management","Update management","Native APIs","Non-native APIs supported through subsystems"
