"Arrays and Collections","Java","C#"
"Abstract data type","Yes","Yes"
"One-dimensional, zero-based index arrays","Yes","Yes"
"Multidimensional arrays, rectangular (single array)","No","Yes"
"Multidimensional arrays, jagged (arrays of arrays)","Yes","Yes"
"Non-zero based arrays","No","Some"
"Unified arrays and collections","No","Yes"
"Maps/dictionaries","Yes","Yes"
"Sorted dictionaries","Yes","Yes"
"Sets","Yes","Yes"
"Sorted sets","Yes","Yes"
"Lists/vectors","Yes","Yes"
"Queues/stacks","Yes","Yes"
"Priority queue","Yes","No"
"Bags/multisets","No","Yes"
"Concurrency optimized collections","Yes","Yes"
