"Format","Languages","Base index"
"string[i]","ALGOL 68, Pascal, Object Pascal (Delphi), Seed7","1"
"string[i]","C, C++, C#, Cobra, D, FreeBASIC, Go, Python, PHP, Ruby, Windows PowerShell, JavaScript, Ya","0"
"string{i}","PHP (deprecated in 5.3)","0"
"string(i)","Ada","≥1"
"Mid(string,i,1)","VB","1"
"MID$(string,i,1)","BASIC","1"
"string.Chars(i)","VB.NET","0"
"string(i:i)","Fortran","1"
"string.charAt(i)","Java, JavaScript","0"
"string.[i]","OCaml, F#","0"
"String.sub (string, i)","Standard ML","0"
"string !! i","Haskell","0"
"(string-ref string i)","Scheme","0"
"(char string i)","Common Lisp","0"
"(elt string i)","ISLISP","0"
"(get string i)","Clojure","0"
"substr(string, i, 1)","Perl","0"
"substr(string, i, 1)","PL/I","1"
"string.at(i)","C++ (STL) (w/ bounds checking)","0"
"lists:nth(i, string)","Erlang","1"
"[string characterAtIndex:i]","Objective-C (NSString * only)","0"
"string.sub(string, i, i) 
 (string):sub(i, i)","Lua","1"
"string at: i","Smalltalk (w/ bounds checking)","1"
"string index string i","Tcl","0"
"StringTake[string, {i}]","Mathematica","1"
"string@i","Eiffel","1"
"string (i:1)","COBOL","1"
