"Classical Latin
(spelling)","Vulgar Latin
(pronunciation)","Spanish","Spanish","Portuguese","Portuguese"
"Classical Latin
(spelling)","Vulgar Latin
(pronunciation)","Spelling","Pronunciation","Spelling","Pronunciation"
"a","/a/","a ~ á","/a/","a ~ á ~ â","/a/ ~ /ɐ/"
"ā","/a/","a ~ á","/a/","a ~ á ~ â","/a/ ~ /ɐ/"
"e","/ɛ/","ie ~ ié","/je̞/","e ~ é","/ɛ/"
"ē","/e/","e ~ é","/e̞/","e ~ ê","/e/"
"i","/e/","e ~ é","/e̞/","e ~ ê","/e/"
"ī","/i/","i ~ í","/i/","i ~ í","/i/"
"o","/ɔ/","ue ~ ué","/we̞/","o ~ ó","/ɔ/"
"ō","/o/","o ~ ó","/o̞/","o ~ ô","/o/"
"u","/o/","o ~ ó","/o̞/","o ~ ô","/o/"
"ū","/u/","u ~ ú","/u/","u ~ ú","/u/"
"au","/aw/","o ~ ó","/o̞/","ou","/ow/²"
