"","Trident","Gecko","WebKit","Presto"
"Error state","Error state","Error state","Error state","Error state"
"MediaError","5.0","1.9.1","?","2.5"
"Network state","Network state","Network state","Network state","Network state"
"src","5.0","1.9.1","?","2.5"
"currentSrc","5.0","1.9.1","?","2.5"
"networkState","5.0","1.9.1","?","2.5"
"preload","5.0","2.0","?","No"
"buffered","5.0","2.0","?",""
"load()","5.0","1.9.1","?","2.5"
"canPlayType()","5.0","1.9.1","533","2.5"
"Ready state","Ready state","Ready state","Ready state","Ready state"
"readyState","5.0","1.9.1","?","2.5"
"seeking","5.0","1.9.1","?","2.5"
"Playback state","Playback state","Playback state","Playback state","Playback state"
"currentTime","5.0","1.9.1","?","2.5"
"startTime","5.0","No","?","2.5"
"duration","5.0","1.9.1","?","2.5"
"paused","5.0","1.9.1","?","2.5"
"defaultPlaybackRate","5.0","20.0","?","No"
"playbackRate","5.0","20.0","?",""
"played","5.0","15.0","?",""
"seekable","5.0","8.0","?",""
"ended","5.0","1.9.1","?","2.5"
"autoplay","5.0","1.9.1","?","2.5"
"loop","5.0","11.0","?","2.5"
"play()","5.0","1.9.1","?","2.5"
"pause()","5.0","1.9.1","?","2.5"
"Controls","Controls","Controls","Controls","Controls"
"controls","5.0","1.9.1","?","2.5"
"volume","5.0","1.9.1","?","2.5"
"muted","5.0","1.9.1","?","2.5"
