"Product","Theme","Day-night mode","Brightness control","Adjust to display size","Indent paragraph","Trim extra blank spaces","Enable-disable CSS","Customize text alignment","Customize font scale","Customize line space","Customize color","Customize transparent","Fading edge","Simulate real page flip","Image view with zoom/pan"
"Aldiko Book Reader","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","?"
"AlReader","?","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes","?","?","Yes","?"
"Cool Reader","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","?","Yes","?"
"EBookDroid","?","Yes","?","?","?","Yes","?","?","?","?","?","?","?","?","?"
"Ebook Reader","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","?"
"FBReader","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Google Play Books","?","Yes","Yes","Yes","?","?","?","Yes","Yes","Yes","?","?","Yes","?","?"
"iReader","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","Yes","Yes","?","?","Yes","No"
"Kindle","?","Yes","Yes","?","?","?","?","?","Yes","Yes","?","?","?","?","?"
"Kobo Books","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","Yes","?"
"Lektz eBook Reader","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","?"
"Mantano Ebook Reader","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","?"
"Moon+ reader","10+","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"OverDrive Media Console","Yes","Yes","Yes","Yes","?","?","?","?","Yes","Yes","Yes","?","?","No","Yes"
"PocketBook","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","No","?","Yes","?"
"Socio eReader","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","Yes","?"
"","","","","","","","","","","","","","","",""
