"","Trident","Gecko","WebKit","Presto","Blink"
"Value properties","Value properties","Value properties","Value properties","Value properties","Value properties"
"NaN","4.0","0.6","Yes","Yes","Yes"
"Infinity","4.0","0.6","Yes","Yes","Yes"
"undefined","5.5","0.6","Yes","Yes","Yes"
"Function properties","Function properties","Function properties","Function properties","Function properties","Function properties"
"eval(x)","3.0","0.6","Yes","Yes","Yes"
"parseInt(string [, radix])","3.0","0.6","Yes","Yes","Yes"
"parseFloat(string)","3.0","0.6","Yes","Yes","Yes"
"isNaN(number)","4.0","0.6","Yes","Yes","Yes"
"isFinite(number)","4.0","0.6","Yes","Yes","Yes"
"URI handling functions","URI handling functions","URI handling functions","URI handling functions","URI handling functions","URI handling functions"
"decodeURI(encodedURI)","5.5","0.6","Yes","Yes","Yes"
"decodeURIComponent(encodedURIComponent)","5.5","0.6","Yes","Yes","Yes"
"encodeURI(uri)","5.5","0.6","Yes","Yes","Yes"
"encodeURIComponent(uriComponent)","5.5","0.6","Yes","Yes","Yes"
"Constructor properties","Constructor properties","Constructor properties","Constructor properties","Constructor properties","Constructor properties"
"Object","4.0","Yes","Yes","Yes","Yes"
"Function","4.0","Yes","Yes","Yes","Yes"
"Array","4.0","Yes","Yes","Yes","Yes"
"String","3.0","Yes","Yes","Yes","Yes"
"Boolean","3.0","Yes","Yes","Yes","Yes"
"Number","3.0","Yes","Yes","Yes","Yes"
"Date","3.0","Yes","Yes","Yes","Yes"
"RegExp","4.0","Yes","Yes","Yes","Yes"
"Error","5.0","Yes","Yes","Yes","Yes"
"EvalError","5.0","Yes","Yes","Yes","Yes"
"RangeError","5.0","Yes","Yes","Yes","Yes"
"ReferenceError","5.0","Yes","Yes","Yes","Yes"
"SyntaxError","5.0","Yes","Yes","Yes","Yes"
"TypeError","5.0","Yes","Yes","Yes","Yes"
"URIError","5.0","Yes","Yes","Yes","Yes"
"Other properties","Other properties","Other properties","Other properties","Other properties","Other properties"
"Math","3.0","Yes","Yes","Yes","Yes"
"Additional properties","Additional properties","Additional properties","Additional properties","Additional properties","Additional properties"
"escape(string)","3.0","Yes","Yes","Yes","Yes"
"unescape(string)","3.0","Yes","Yes","Yes","Yes"
