"Format","Languages"
"string OP string, where OP can be any of  =, <>, <, >, <= and >=","Pascal, Object Pascal (Delphi), OCaml, Seed7, Standard ML, BASIC, VB, VB .NET, F#"
"string OP string, where OP can be any of  =, /=, ≠, <, >, <=, ≤ and ≥; Also: EQ, NE, LT, LE, GE and GT","ALGOL 68"
"(stringOP? string string), where OP can be any of =, -ci=, <, -ci<, >, -ci>, <=, -ci<=, >= and -ci>= (operators starting with '-ci' are case-insensitive)","Scheme"
"(stringOP string string), where OP can be any of =, -ci=, <>, -ci<>, <, -ci<, >, -ci>, <=, -ci<=, >= and -ci>= (operators starting with '-ci' are case-insensitive)","Scheme (SRFI 13)"
"(stringOP string string), where OP can be any of =, -equal, /=, -not-equal, <, -lessp, >, -greaterp, <=, -not-greaterp, >= and -not-lessp (the verbal operators are case-insensitive)","Common Lisp"
"(stringOP string string), where OP can be any of =, /=, <, >, <=, and >=","ISLISP"
"string OP string, where OP can be any of  =, \=, <, >, <= and >=","REXX"
"string OP string, where OP can be any of  =, ¬=, <, >, <=, >=, ¬< and ¬>","PL/I"
"string OP string, where OP can be any of =, /=, <, >, <= and >=","Ada"
"string OP string, where OP can be any of ==, /=, <, >, =< and >=","Erlang"
"string OP string, where OP can be any of ==, /=, <, >, <= and >=","Haskell"
"string OP string, where OP can be any of eq, ne, lt, gt, le and ge","Perl"
"string OP string, where OP can be any of ==, !=, <, >, <= and >=","C++ (STL), C#, D, Go, JavaScript, Python, PHP, Ruby, Swift, Ya"
"string OP string, where OP can be any of -eq, -ceq, -ne, -cne, -lt, -clt, -gt, -cgt, -le, -cle, -ge, and -cge  (operators starting with 'c' are case-sensitive)","Windows PowerShell"
"string OP string, where OP can be any of ==, ~=, <, >, <= and >=","Lua"
"string OP string, where OP can be any of =, ~=, <, >, <= and >=","Smalltalk"
"string OP string, where OP can be any of ==, /=, <, >, <= and >=; Also: .EQ., .NE., .LT., .LE., .GT. and .GE.","Fortran."
"string OP string where OP can be any of =, <>, <, >, <=, >= as well as worded equivalents","COBOL"
"string OP string where OP can be any of ==, <>, <, >, <= and >=","Cobra"
"Are available in the syntax, but means comparison of the pointers pointing to the strings, not of the string contents.","C, Java"
