"Cards →","CF","CF","CFast","SM","MMC","MMC","Memory Stick","Memory Stick","Memory Stick","Memory Stick","SDSC","SDSC","SDSC","SDHC","SDHC","SDHC","SDXC","SDXC","xD","xD","xD","XQD"
"↓ Slots","I","II","CFast","SM","MMC","MMC","Micro","miniSD","microSD","miniSDHC","SDSC","SDSC","SDSC","SDHC","SDHC","SDHC","SDXC","SDXC","","","",""
"ExpressCard","E","E","","","E","","E","E","E","","E","E","E","","","","","","E","E","E","EM"
"ExpressCard","E","E","","","E","","E","E","E","","E","E","E","","","","","","E","E","E","EM"
"PCI Express Mini Card","","","","","","","","","","","","","","","","","","","","","","EM"
"mSATA","","","XM","","","","","","","","","","","","","","","","","","",""
"PC Card","EM","EM","","E","E","","E","E","","","E","","","","","","","","","","",""
"PCMCIA","EM","EM","","E","E","","E","E","","","E","","","","","","","","","","",""
"CF I","+","","","E","E","","E","E","E","","E","","","","","","","","E","E","E",""
"CF II","+","+","","E","E","","E","E","","","E","","","","","","","","E","E","E",""
"CFast","","","+","","","","","","","","","","","","","","","","","","",""
"SM","","","","+","","","","","","","","","","","","","","","X","X","X",""
"xD","","","","","","","","","","","","","E","","","","","","+","+","+",""
"XQD","","","","","","","","","","","","","","","","","","","","","","+"
"MMC","","","","","+","M","","","","","D","","","","","","","","","","",""
"MS","","","","","X","","+","+","M","M","X","X","E","","","","","","","","",""
"SDSC","","","","","D","M","","","","","+","EM","EM","","","","","","","","",""
"miniSD","","","","","","","","","","","","+","EM","","","","","","","","",""
"microSD","","","","","","","","","","","","","+","","","","","","","","",""
"SDHC","","","","","","","","","","","D","EM","EM","+","EM","EM","","","","","",""
"miniSDHC","","","","","","","","","","","","D","EM","","+","EM","","","","","",""
"microSDHC","","","","","","","","","","","","","D","","","+","","","","","",""
"SDXC","","","","","","","","","","","D","EM","EM","D","EM","EM","+","EM","","","",""
"microSDXC","","","","","","","","","","","","","D","","","D","","+","","","",""
"IDE PATA","EM","EM","","","","","","","","","E","","","","","","","","","","",""
"Serial ATA","E","E","EM","","","","","","","","","","","","","","","","","","",""
"PCI Express","","","","","","","","","","","","","","","","","","","","","","EM"
"USB","X","X","","X","X","","X","X","E","E","E","","E","","","","","","X","X","X","X"
"Floppy","","","","E","E","E + M","E","E","","","","","","","","","","","","","",""
"Nintendo DS Slot-1","","","","","","","","","","","","","E","","","","","","","","",""
"Nintendo DS Slot-2","","","","","","","","","","","E","E","E","","","","","","","","",""
